,Year,Team,G,Wins,Losses,OEFF,DEFF,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFoul,PTS
0,1980,San Antonio Spurs*,82,41,41,108.6,109.0,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.8009999999999999,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4
1,1980,Los Angeles Lakers*,82,60,22,109.5,103.9,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1
2,1980,Cleveland Cavaliers,82,37,45,106.7,106.4,243.0,46.5,98.1,0.474,0.4,2.3,0.193,46.0,95.8,0.48100000000000004,20.8,26.9,0.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1
3,1980,New York Knicks,82,39,43,106.5,107.5,241.2,46.4,93.6,0.496,0.5,2.3,0.22,45.9,91.2,0.503,20.7,27.7,0.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0
4,1980,Boston Celtics*,82,61,21,109.4,101.9,242.4,44.1,90.1,0.49,2.0,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5
5,1980,Indiana Pacers,82,37,45,105.5,106.2,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.48100000000000004,21.4,28.5,0.7509999999999999,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2
6,1980,Phoenix Suns*,82,55,27,105.6,102.2,240.9,43.5,88.2,0.493,0.8,3.4,0.243,42.7,84.8,0.504,23.2,30.1,0.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1
7,1980,Houston Rockets*,82,41,41,108.1,108.0,243.0,43.9,91.4,0.48,1.3,4.6,0.27399999999999997,42.6,86.8,0.491,21.7,28.4,0.7659999999999999,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8
8,1980,Milwaukee Bucks*,82,49,33,106.8,102.9,241.5,44.9,92.1,0.488,0.6,1.9,0.32299999999999995,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1
9,1980,Philadelphia 76ers*,82,59,23,105.0,101.0,242.1,43.0,87.3,0.49200000000000005,0.3,1.5,0.21600000000000003,42.6,85.7,0.49700000000000005,22.9,29.6,0.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1
10,1980,Detroit Pistons,82,16,66,101.2,108.8,241.2,44.4,92.6,0.48,0.7,2.7,0.26,43.7,90.0,0.486,19.4,26.2,0.74,15.0,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9
11,1980,Seattle SuperSonics*,82,56,26,105.8,101.2,241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90.0,0.474,21.1,27.5,0.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5
12,1980,New Jersey Nets,82,34,48,101.5,102.5,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.46799999999999997,23.0,29.3,0.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3
13,1980,Denver Nuggets,82,30,52,103.4,107.6,241.8,42.2,91.1,0.46299999999999997,1.0,3.1,0.325,41.2,88.0,0.46799999999999997,22.8,31.0,0.737,16.0,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3
14,1980,Kansas City Kings*,82,47,35,104.0,101.0,241.5,43.7,91.3,0.478,0.3,1.4,0.21899999999999997,43.4,89.9,0.48200000000000004,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0
15,1980,San Diego Clippers,82,35,47,105.7,109.8,240.9,43.0,91.4,0.47,2.2,6.6,0.326,40.8,84.8,0.48200000000000004,19.5,26.4,0.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6
