Season,3P%,2P%,ORB%,DRB%
2019,0.357,0.520233333,0.226,0.774
2018,0.355,0.510766667,0.229,0.771
2017,0.362,0.503966667,0.223,0.777
2016,0.358,0.491633333,0.233,0.767
2015,0.354,0.485766667,0.238,0.762
2014,0.35,0.488533333,0.251,0.749
2013,0.36,0.4839,0.255,0.745
2012,0.359,0.4771,0.265,0.735
2011,0.349,0.487566667,0.27,0.73
2010,0.358,0.492533333,0.264,0.736
2009,0.355,0.485466667,0.263,0.737
2008,0.367,0.484833333,0.267,0.733
2007,0.362,0.485566667,0.267,0.733
2006,0.358,0.4781,0.271,0.729
2005,0.358,0.470066667,0.273,0.727
2004,0.356,0.459724138,0.287,0.713
2003,0.347,0.462689655,0.286,0.714
2002,0.349,0.465517241,0.285,0.715
2001,0.354,0.46137931,0.289,0.711
2000,0.354,0.468,0.282,0.718
1999,0.353,0.457551724,0.289,0.711
1998,0.339,0.471103448,0.302,0.698
1997,0.346,0.480482759,0.314,0.686
1996,0.36,0.486241379,0.308,0.692
1995,0.367,0.491444444,0.306,0.694
1994,0.359,0.483592593,0.314,0.686
1993,0.333,0.48937037,0.322,0.678
1992,0.336,0.486148148,0.32,0.68
1991,0.331,0.48837037,0.329,0.671
1990,0.32,0.488814815,0.323,0.677
1989,0.331,0.49012,0.321,0.679
1988,0.323,0.490521739,0.33,0.67
1987,0.316,0.490521739,0.328,0.672
1986,0.301,0.495434783,0.334,0.666
1985,0.282,0.498782609,0.324,0.676
1984,0.282,0.498782609,0.329,0.671
1983,0.25,0.491565217,0.33,0.67
1982,0.238,0.49726087,0.334,0.666
1981,0.262,0.491521739,0.33,0.67
1980,0.245,0.487954545,0.335,0.665
